"","Var1","Var2","Freq"
"1","","      id","Min.   :    3335  "
"2","","      id","1st Qu.: 3258256  "
"3","","      id","Median : 6118244  "
"4","","      id","Mean   : 5550111  "
"5","","      id","3rd Qu.: 8035127  "
"6","","      id","Max.   :10340165  "
"7","","      id",NA
"8","","                               listing_url","https://www.airbnb.com/rooms/10000273:   1  "
"9","","                               listing_url","https://www.airbnb.com/rooms/1000883 :   1  "
"10","","                               listing_url","https://www.airbnb.com/rooms/10012724:   1  "
"11","","                               listing_url","https://www.airbnb.com/rooms/10015967:   1  "
"12","","                               listing_url","https://www.airbnb.com/rooms/10019082:   1  "
"13","","                               listing_url","https://www.airbnb.com/rooms/10020221:   1  "
"14","","                               listing_url","(Other)                              :3812  "
"15","","                                 name","Capitol Hill Apartment             :   3  "
"16","","                                 name","""THE 5-STAR HOUSE""                 :   2  "
"17","","                                 name","2 Baths W/D,View walk UW (302)     :   2  "
"18","","                                 name","A Quiet Room in a House by the Lake:   2  "
"19","","                                 name","Bedroom in artistic Northwest home :   2  "
"20","","                                 name","Capitol Hill Master Bedroom        :   2  "
"21","","                                 name","(Other)                            :3805  "
"22","","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     space","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        : 569  "
"23","","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     space","*Note: This fall, there will be major renovations happening on one kitchen and bathroom at a time. There will always be two other working kitchens and two working bathrooms in the house. We'll work to minimize the impact these renovations have on your stay. **This listing is only available to those working in the tech/science space. Live in a hacker house, and immerse yourself in the Seattle tech scene. You can expect to be surrounded by smart people solving big problems or working on something fun. We have frequent demo nights, and love when our guests share something they are passionate about. If you're new to the city, our deep ties to the Seattle tech scene can help you get involved. Expand your network, develop your ideas, and learn something new by living in a hacker house. Just inquire to apply.                                                                                                                                                                                           :  14  "
"24","","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     space","This is a fully-furnished studio designed for one person, but the vast majority of couples who have stayed with us find the intimate space cozy. The unit is compact and the bathroom is separated from the rest of the studio by a curtain. Your completely private studio space includes the following: Closet Shelves Desk Lamp Full Sized Bed Refrigerator Microwave Sink Toilet Shower Central Air                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 :  12  "
"25","","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     space","AMAZING BUILDING, AMENITIES, AND LOCATION WITH A VIEW!!! The Property Who says you can't have it all? This amazing property is located in one of Seattle's best neighborhoods and is only a few blocks from the legendary Pike's Place market and walking distance to many of Seattle's hot spots. Walk over to Safeco Field and Seahawks Stadium, visit the hottest restaurants and bars or take the monorail to Seattle Center and Key arena. Don't worry, you won't navigate living in this gem of a property alone, you will have access to one of our amazing concierges. Perfect Location Our business travelers will enjoy Metro's prime location. The property is situated near UPS and FedEx with many car rental companies located a few minutes away from our vacation rental. Of course, those of us that lead a busy lifestyle still need to eat, but fortunately, the Shelby is close to many of Seattle's finest restaurants. Many of the restaurants have Zagat customer ratings of extraordinary to perfection, so you :   8  "
"26","","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     space","Our listing offers a unique Airbnb experience of staying with other Airbnb guests in a shared room as well as in a house of roommates who live in Seattle. This room is a great fit for individual or groups of travelers on a budget who are interested in meeting interesting people right in the place they are staying! We created this house so that people from around the world could meet, share experiences together and potentially create long lasting friendships that go beyond their time in our house. In a big house we are making the world smaller with more connections between people. Below is more information about your shared room, about us and about our house. Read through and see if we are a good fit for your trip! ABOUT YOUR SHARED ROOM:  This is a shared room with up to 7 other people who are all staying short term (1 night - 1 month). When you book this listing you are reserving one out of 8 beds. This listing is not specific to a top or bottom bunk. When you arrive you can choose wh:   7  "
"27","","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     space","*This listing is only available to those working in the tech/science space.* Live in a hacker house, and immerse yourself in the Seattle tech scene.  Connecting people through new ideas and technology is a huge part of what we do. You can expect demos and talks from people doing incredible work. We love when our guests want to show off something they are working on or are passionate about.  Our residents attend myriad events in technology around the city, and it is likely you will expand your network during your stay. From researchers at the University of Washington, to indie game developers, to interns at (SENSITIVE CONTENTS HIDDEN), we are proud to host a diverse group of hackers, makers and entrepreneurs. Just inquire to apply.                                                                                                                                                                                                                                                                    :   6  "
"28","","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     space","(Other)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 :3202  "
"29","","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  description","Our space is a mix of a hostel and a home. We are a group of long-term residents & subletors who welcome short term guests. This is the house to meet folks whether you are moving to town or traveling through. The house offers quiet and social spaces. Our listing offers a unique Airbnb experience of staying with other Airbnb guests in a shared room as well as in a house of roommates who live in Seattle. This room is a great fit for individual or groups of travelers on a budget who are interested in meeting interesting people right in the place they are staying! We created this house so that people from around the world could meet, share experiences together and potentially create long lasting friendships that go beyond their time in our house. In a big house we are making the world smaller with more connections between people. Below is more information about your shared room, about us and about our house. Read through and see if we are a good fit for your trip! ABOUT YOUR SHARED ROOM:  :  10  "
"30","","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  description","This is a modern fully-furnished studio apartment in a brand new building on Capitol Hill. At Roy Street Commons you can enjoy your complete privacy and mingle with our other guests in our common areas, when it suits you. This is a fully-furnished studio designed for one person, but the vast majority of couples who have stayed with us find the intimate space cozy. The unit is compact and the bathroom is separated from the rest of the studio by a curtain. Your completely private studio space includes the following: Closet Shelves Desk Lamp Full Sized Bed Refrigerator Microwave Sink Toilet Shower Central Air You also have access to a common area, which includes the following amenities: Rooftop Deck with 360 degree views Fully-Equipped Kitchen Laundry Facilities Dishwasher Iron & Ironing Board Cable Television 100Mbps Wi-Fi Central Air As we value your time and privacy, we offer 24-hour check-in. The process is seamless and doesn't require any scheduling. On the morning of the day of your:   7  "
"31","","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  description","One block from Pike Place Market, the best of Seattle's downtown is at your fingertips in the beautiful Harbor Steps apartments. This unit features 2 Bedroom, 2 Bathroom, is Family Friendly and Handicap Accessible, and Sleeps 6. Free parking, 1 car. UNIT HAS BEEN RENOVATED! FIXTURES ARE UPGRADED. NEW PICTURES COMING SOON! 2 BLOCKS TO PIKE PLACE MARKET AND 1/2 BLOCK TO WATER AND PIERS!!! Live like a local during your stay at the amazing Harbor Steps property located in the heart of downtown Seattle! You'll be a couple blocks away from the famous Pike Place Market and right in the middle of all the action. Experience everything that Seattle has to offer: fantastic dining, vibrant nightlife, and exciting family activities! The Harbor Steps property is located on First avenue, between Seneca and University in the Belltown neighborhood, two blocks from Seattle Waterfront. The property is an easy trip from SEA-TAC airport by car and rail. Harbor Steps: -2 bedrooms with a king bed and a queen:   6  "
"32","","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  description","The Metropolitan Tower property is centrally located on Westlake Avenue, between 6th and 7th. This unit features 2 Bedrooms, 2 Bathrooms, Kitchen, Washer/Dryer, and Sleeps 6.    AMAZING BUILDING, AMENITIES, AND LOCATION WITH A VIEW!!! The Property Who says you can't have it all? This amazing property is located in one of Seattle's best neighborhoods and is only a few blocks from the legendary Pike's Place market and walking distance to many of Seattle's hot spots. Walk over to Safeco Field and Seahawks Stadium, visit the hottest restaurants and bars or take the monorail to Seattle Center and Key arena. Don't worry, you won't navigate living in this gem of a property alone, you will have access to one of our amazing concierges. Perfect Location Our business travelers will enjoy Metro's prime location. The property is situated near UPS and FedEx with many car rental companies located a few minutes away from our vacation rental. Of course, those of us that lead a busy lifestyle still need:   5  "
"33","","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  description","*Clear View of New Year's Eve Space Needle FireWorks* Right at the heart of Seattle's fastest-growing area, this fantastic 1Bed is in belltown a few  blocks away from Pike's Place market and has unobstructed south lake union and space needle views                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 :   4  "
"34","","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  description","About Io House: This is a home for itinerant techies - entrepreneurs, coders, inventors, designers, and scientists. The idea is to interact with the other residents, and for you to leave with your strongest memories being of the people you met here. This house is located in the heart of North Capitol Hill, at its closest point to South Lake Union. You've got the convenience of the restaurants and activity of Capitol Hill, and a full QFC supermarket two blocks away, while located an easy walk from TechStars (1.2 miles walk), CodeFellows, Amazon SLU, etc. It has a WalkScore of 95/100. Bed: this listing is for a bunk bed (Upper bunk 2) in a shared room with three other people.  Common area includes: a living room on the main floor, a large converted attic designed as work space, a full kitchen, shared bathrooms, and a large basement suitable for bike/luggage storage. We provide: - High speed Internet - Laundry on-site (detergent provided) - Full kitchen with dishwasher - A back yard with :   4  "
